title,price,link
1 Kanal Fully Furnsihed Ultra Lavish Bungalow For Sale In Phase 6 Near Raya,14.25 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_fully_furnsihed_ultra_lavish_bungalow_for_sale_in_phase_6_near_raya-48032465-1448-1.html
2 KANAL OUT OF MARKET MODERN HOUSE FOR SALE IN THE HEART OF DHA,14.75 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_out_of_market_modern_house_for_sale_in_the_heart_of_dha-45340281-1448-1.html
Faisal Rasul Design Kanal Spanish Villa For Sale With 2-Kanal Front,7.14 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_faisal_rasul_design_kanal_spanish_villa_for_sale_with_2-kanal_front-48044250-1448-1.html
One Bed Apartment Available For Sale In Sector C Bahria Town Lahore,48 Lakh,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_one_bed_apartment_available_for_sale_in_sector_c_bahria_town_lahore-47506917-1786-1.html
5 MARLA BEAUTIFUL HOUSE FOR SALE IN AA BLOCK SECTER D BAHRIA TOWN LAHORE,1.95 Crore,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_bb_5_marla_beautiful_house_for_sale_in_aa_block_secter_d_bahria_town_lahore-48116060-1798-1.html
Beautiful 5 Marla House Available For Sale In Park View City Lahore,1.75 Crore,https://www.zameen.com/Property/park_view_city_park_view_city_-_diamond_block_beautiful_5_marla_house_available_for_sale_in_park_view_city_lahore-47593350-17433-1.html
3 BEDS BRAND NEW 5 MARLA HOUSE FOR SALE LOCATED IN BAHRIA ORCHARD LAHORE,1.5 Crore,https://www.zameen.com/Property/low_cost_sector_low_cost_-_block_g_3_beds_brand_new_5_marla_house_for_sale_located_in_bahria_orchard_lahore-47916612-8192-1.html
BRAND NREW 5 MARLA HOUSE FOR SALE LOCATED BAHRIA ORCHARD LAHORE,1.6 Crore,https://www.zameen.com/Property/bahria_orchard_phase_2_low_cost_sector_brand_nrew_5_marla_house_for_sale_located_bahria_orchard_lahore-45853807-8187-1.html
2 Kanal Full Furnished Spanish Bungalow With Swimming Pool And Home Theater Of Dha Phase 6 Lahore For Sale,27 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_full_furnished_spanish_bungalow_with_swimming_pool_and_home_theater_of_dha_phase_6_lahore_for_sale-47581447-1448-1.html
1 Kanal Corner Brand New Spanish Bungalow For Sale,9 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_5_1_kanal_corner_brand_new_spanish_bungalow_for_sale-48098673-1447-1.html
Brand New 5 Marla House For Sale Located In Block Aa Bahria Town Lahore,1.85 Crore,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_aa_brand_new_5_marla_house_for_sale_located_in_block_aa_bahria_town_lahore-45809415-1797-1.html
Facing Park 50 Ft Main Road Ideal House For Sale In Dha 11 Rahbar Phase 2 Extension Block N,2.35 Crore,https://www.zameen.com/Property/dha_11_rahbar_phase_2_extension_dha_11_rahbar_phase_2_extension_-_block_n_facing_park_50_ft_main_road_ideal_house_for_sale_in_dha_11_rahbar_phase_2_extension_block_n-46993215-8522-1.html
DHA RAHBAR ONWER BUILT 5 MARLA HOUSE FOR SALE,2 Crore,https://www.zameen.com/Property/lahore_dha_11_rahbar_dha_rahbar_onwer_built_5_marla_house_for_sale-47846976-1410-1.html
1 Kanal Fully Furnished Full Basements Brand New House For Sale Near Park Or Market,17.25 Crore,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_f_1_kanal_fully_furnished_full_basements_brand_new_house_for_sale_near_park_or_market-48048124-1615-1.html
Modern House For Sale,5.45 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_7_modern_house_for_sale-42966597-1450-1.html
Furnished Luxury 5 Marla House For Sale Located In Bb Block Bahria Town Lahore,2 Crore,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_bb_furnished_luxury_5_marla_house_for_sale_located_in_bb_block_bahria_town_lahore-45878483-1798-1.html
Slightly Used 5 Marla For Sale Located In Bahria Town BB Block,1.85 Crore,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_bb_slightly_used_5_marla_for_sale_located_in_bahria_town_bb_block-45878373-1798-1.html
5 Marla Used House Available For Sale In Sector D Bahria Town Lahore,1.85 Crore,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_bb_5_marla_used_house_available_for_sale_in_sector_d_bahria_town_lahore-45590001-1798-1.html
3 Beds Slightly Used 5 Marla House For Sale Located In CC Block Bahria Town Lahore,1.9 Crore,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_cc_3_beds_slightly_used_5_marla_house_for_sale_located_in_cc_block_bahria_town_lahore-46286956-1799-1.html
4 Beds Slightly Used 8 Marla House For Sale Located In Bahria Town Ali Block,3.15 Crore,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_ali_block_4_beds_slightly_used_8_marla_house_for_sale_located_in_bahria_town_ali_block-46287027-1779-1.html
